 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 20   # Spanwise =100     First strip =  1
     Surface area =    0.050178       Ave. chord =    0.131700
     CLsurf  =   0.15714     Clsurf  =  -0.06834
     CYsurf  =   0.00034     Cmsurf  =  -0.13141
     CDsurf  =   0.00564     Cnsurf  =  -0.00010
     CDisurf =   0.00277     CDvsurf =   0.00288

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.31429     CDsurf  =   0.01129
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
   147  -0.1696   0.1365   0.0008   0.0463   0.0320   0.3633   0.3390   0.0119   0.0058  -0.0508   0.1290    0.400
   148  -0.1756   0.1351   0.0008   0.0459   0.0320   0.3641   0.3397   0.0114   0.0058  -0.0507   0.1291    0.399
   149  -0.1815   0.1338   0.0008   0.0455   0.0320   0.3649   0.3405   0.0100   0.0058  -0.0507   0.1291    0.399
   150  -0.1875   0.1324   0.0008   0.0451   0.0321   0.3654   0.3409   0.0129   0.0057  -0.0506   0.1292    0.398
   151  -0.1935   0.1310   0.0008   0.0447   0.0321   0.3659   0.3414   0.0135   0.0057  -0.0504   0.1292    0.398
   152  -0.1995   0.1296   0.0008   0.0443   0.0322   0.3663   0.3418   0.0137   0.0057  -0.0503   0.1291    0.397
   153  -0.2054   0.1283   0.0008   0.0439   0.0322   0.3666   0.3420   0.0134   0.0057  -0.0502   0.1291    0.397
   154  -0.2114   0.1269   0.0008   0.0434   0.0324   0.3669   0.3424   0.0085   0.0057  -0.0501   0.1291    0.396
   155  -0.2173   0.1255   0.0007   0.0430   0.0325   0.3669   0.3423   0.0103   0.0057  -0.0500   0.1289    0.396
   156  -0.2233   0.1242   0.0007   0.0425   0.0327   0.3668   0.3422   0.0102   0.0056  -0.0499   0.1288    0.396
   157  -0.2291   0.1228   0.0007   0.0420   0.0328   0.3666   0.3420   0.0102   0.0056  -0.0497   0.1286    0.395
   158  -0.2350   0.1215   0.0007   0.0415   0.0331   0.3661   0.3416   0.0113   0.0056  -0.0495   0.1283    0.395
   159  -0.2408   0.1201   0.0007   0.0410   0.0333   0.3656   0.3411   0.0096   0.0056  -0.0494   0.1281    0.395
   160  -0.2465   0.1188   0.0007   0.0404   0.0336   0.3649   0.3404   0.0095   0.0056  -0.0492   0.1277    0.394
   161  -0.2522   0.1175   0.0007   0.0399   0.0340   0.3639   0.3396   0.0091   0.0055  -0.0490   0.1273    0.394
   162  -0.2578   0.1162   0.0007   0.0393   0.0343   0.3627   0.3384   0.0113   0.0055  -0.0487   0.1269    0.394
   163  -0.2634   0.1149   0.0006   0.0387   0.0347   0.3614   0.3372   0.0111   0.0055  -0.0485   0.1263    0.394
