#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.44306  0.38664 -0.05316 -1.05085  0.001176  0.000416  0.000820     2.824
   1.45164  0.39521 -0.05276 -1.04968  0.001188  0.000422  0.000819     2.817
   1.46022  0.40378 -0.05235 -1.04836  0.001204  0.000428  0.000806     2.817
   1.46880  0.41235 -0.05193 -1.04715  0.001219  0.000433  0.000799     2.814
   1.47738  0.42091 -0.05149 -1.04608  0.001231  0.000438  0.000795     2.809
   1.48595  0.42947 -0.05103 -1.04486  0.001247  0.000444  0.000783     2.810
   1.49452  0.43803 -0.05056 -1.04375  0.001261  0.000449  0.000774     2.808
   1.50308  0.44658 -0.05008 -1.04241  0.001281  0.000455  0.000755     2.815
   1.51165  0.45514 -0.04957 -1.04104  0.001301  0.000461  0.000734     2.823
   1.52024  0.46370 -0.04905 -1.03960  0.001322  0.000467  0.000712     2.834
   1.52883  0.47228 -0.04851 -1.03806  0.001346  0.000473  0.000686     2.847
   1.53744  0.48088 -0.04796 -1.03649  0.001370  0.000479  0.000661     2.861
   1.54607  0.48949 -0.04739 -1.03491  0.001394  0.000485  0.000636     2.874
   1.55472  0.49811 -0.04681 -1.03327  0.001419  0.000491  0.000611     2.890
   1.56338  0.50676 -0.04621 -1.03163  0.001445  0.000497  0.000587     2.905
   1.57206  0.51541 -0.04561 -1.02999  0.001470  0.000504  0.000565     2.919
   1.58075  0.52408 -0.04499 -1.02835  0.001495  0.000510  0.000543     2.933
   1.58945  0.53275 -0.04436 -1.02673  0.001520  0.000516  0.000524     2.946
   1.59815  0.54144 -0.04371 -1.02508  0.001545  0.000522  0.000504     2.960
   1.60687  0.55013 -0.04306 -1.02343  0.001571  0.000528  0.000484     2.975
   1.61559  0.55882 -0.04240 -1.02175  0.001598  0.000534  0.000464     2.991
   1.62432  0.56753 -0.04173 -1.02013  0.001624  0.000541  0.000447     3.004
   1.63306  0.57624 -0.04105 -1.01848  0.001651  0.000547  0.000429     3.019
