#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.30909  0.25273 -0.05703 -1.05534  0.002655  0.000978  0.004185     2.713
   1.31716  0.26080 -0.05697 -1.05381  0.002723  0.001000  0.004028     2.723
   1.32528  0.26892 -0.05688 -1.05228  0.002789  0.001021  0.003888     2.731
   1.33346  0.27710 -0.05676 -1.05070  0.002856  0.001043  0.003754     2.739
   1.34168  0.28531 -0.05662 -1.04911  0.002922  0.001064  0.003629     2.746
   1.34994  0.29357 -0.05645 -1.04739  0.002993  0.001086  0.003492     2.757
   1.35824  0.30188 -0.05625 -1.04577  0.003058  0.001107  0.003387     2.763
   1.36659  0.31022 -0.05603 -1.04401  0.003129  0.001128  0.003262     2.773
   1.37497  0.31860 -0.05578 -1.04239  0.003192  0.001149  0.003173     2.778
   1.38339  0.32701 -0.05552 -1.04064  0.003262  0.001170  0.003063     2.787
   1.39184  0.33546 -0.05523 -1.03897  0.003327  0.001191  0.002975     2.793
   1.40033  0.34394 -0.05493 -1.03733  0.003390  0.001211  0.002895     2.799
   1.40884  0.35244 -0.05460 -1.03574  0.003452  0.001232  0.002824     2.803
   1.41737  0.36097 -0.05427 -1.03414  0.003514  0.001252  0.002753     2.807
   1.42592  0.36951 -0.05391 -1.03265  0.003571  0.001271  0.002698     2.809
   1.43448  0.37807 -0.05354 -1.03115  0.003630  0.001291  0.002640     2.812
   1.44306  0.38664 -0.05316 -1.02966  0.003688  0.001310  0.002584     2.815
   1.45164  0.39521 -0.05276 -1.02828  0.003742  0.001329  0.002541     2.816
   1.46022  0.40378 -0.05235 -1.02687  0.003799  0.001348  0.002491     2.818
   1.46880  0.41235 -0.05193 -1.02550  0.003854  0.001367  0.002446     2.820
   1.47738  0.42091 -0.05149 -1.02415  0.003909  0.001385  0.002402     2.822
   1.48595  0.42947 -0.05103 -1.02276  0.003968  0.001404  0.002349     2.826
   1.49452  0.43803 -0.05056 -1.02140  0.004025  0.001422  0.002300     2.830
   1.50308  0.44658 -0.05008 -1.01992  0.004092  0.001441  0.002235     2.839
   1.51165  0.45514 -0.04957 -1.01843  0.004159  0.001461  0.002169     2.847
   1.52024  0.46370 -0.04905 -1.01688  0.004231  0.001480  0.002098     2.859
   1.52883  0.47228 -0.04851 -1.01526  0.004307  0.001500  0.002022     2.872
   1.53744  0.48088 -0.04796 -1.01363  0.004385  0.001520  0.001946     2.885
   1.54607  0.48949 -0.04739 -1.01194  0.004467  0.001540  0.001868     2.900
   1.55472  0.49811 -0.04681 -1.01023  0.004551  0.001561  0.001791     2.916
   1.56338  0.50676 -0.04621 -1.00849  0.004638  0.001581  0.001712     2.933
   1.57206  0.51541 -0.04561 -1.00673  0.004725  0.001602  0.001637     2.950
   1.58075  0.52408 -0.04499 -1.00496  0.004816  0.001622  0.001562     2.968
   1.58945  0.53275 -0.04436 -1.00317  0.004907  0.001643  0.001489     2.986
   1.59815  0.54144 -0.04371 -1.00136  0.005003  0.001664  0.001416     3.006
   1.60687  0.55013 -0.04306 -0.99954  0.005101  0.001685  0.001343     3.027
   1.61559  0.55882 -0.04240 -0.99770  0.005203  0.001706  0.001269     3.049
   1.62432  0.56753 -0.04173 -0.99585  0.005306  0.001728  0.001199     3.071
   1.63306  0.57624 -0.04105 -0.99400  0.005413  0.001749  0.001128     3.095
   1.64181  0.58496 -0.04036 -0.99212  0.005526  0.001770  0.001056     3.121
   1.65057  0.59370 -0.03966 -0.99026  0.005640  0.001792  0.000987     3.147
   1.65934  0.60244 -0.03895 -0.98837  0.005761  0.001814  0.000915     3.176
   1.66812  0.61119 -0.03823 -0.98650  0.005883  0.001835  0.000847     3.206
   1.67691  0.61995 -0.03751 -0.98463  0.006012  0.001857  0.000779     3.238
   1.68571  0.62872 -0.03678 -0.98276  0.006147  0.001879  0.000710     3.272
   1.69452  0.63750 -0.03604 -0.98091  0.006283  0.001900  0.000646     3.306
   1.70334  0.64628 -0.03530 -0.97907  0.006426  0.001922  0.000580     3.344
   1.71216  0.65508 -0.03455 -0.97724  0.006574  0.001943  0.000517     3.383
   1.72099  0.66387 -0.03379 -0.97544  0.006728  0.001965  0.000455     3.424
   1.72981  0.67266 -0.03304 -0.97367  0.006888  0.001986  0.000394     3.468
   1.73864  0.68145 -0.03227 -0.97192  0.007054  0.002007  0.000335     3.515
   1.74746  0.69025 -0.03150 -0.97020  0.007227  0.002028  0.000278     3.564
   1.75629  0.69904 -0.03073 -0.96852  0.007410  0.002049  0.000221     3.617
   1.76512  0.70783 -0.02995 -0.96687  0.007603  0.002069  0.000166     3.674
   1.77395  0.71663 -0.02916 -0.96526  0.007805  0.002089  0.000112     3.736
   1.78279  0.72543 -0.02837 -0.96370  0.008016  0.002109  0.000061     3.801
   1.79163  0.73424 -0.02757 -0.96218  0.008237  0.002128  0.000013     3.870
   1.80048  0.74305 -0.02677 -0.96072  0.008467  0.002147 -0.000031     3.943
   1.80933  0.75187 -0.02597 -0.95930  0.008705  0.002166 -0.000072     4.019
   1.81819  0.76069 -0.02516 -0.95794  0.008956  0.002184 -0.000110     4.101
   1.82704  0.76950 -0.02435 -0.95662  0.009215  0.002202 -0.000143     4.185
   1.83589  0.77831 -0.02353 -0.95534  0.009485  0.002219 -0.000173     4.275
   1.84473  0.78711 -0.02272 -0.95411  0.009764  0.002236 -0.000199     4.367
   1.85356  0.79591 -0.02189 -0.95292  0.010057  0.002253 -0.000221     4.465
   1.86239  0.80470 -0.02107 -0.95177  0.010358  0.002269 -0.000238     4.565
   1.87122  0.81349 -0.02024 -0.95068  0.010674  0.002285 -0.000253     4.671
   1.88004  0.82227 -0.01940 -0.94964  0.011000  0.002300 -0.000264     4.782
   1.88885  0.83103 -0.01857 -0.94866  0.011338  0.002315 -0.000272     4.897
   1.89764  0.83979 -0.01773 -0.94773  0.011687  0.002330 -0.000277     5.017
   1.90642  0.84853 -0.01689 -0.94685  0.012047  0.002343 -0.000279     5.141
   1.91518  0.85725 -0.01605 -0.94602  0.012419  0.002357 -0.000280     5.270
   1.92391  0.86593 -0.01520 -0.94525  0.012796  0.002369 -0.000279     5.401
   1.93259  0.87458 -0.01436 -0.94452  0.013188  0.002382 -0.000278     5.537
   1.94123  0.88318 -0.01352 -0.94384  0.013584  0.002393 -0.000276     5.676
   1.94980  0.89171 -0.01268 -0.94321  0.013990  0.002404 -0.000273     5.819
   1.95829  0.90015 -0.01185 -0.94262  0.014404  0.002415 -0.000269     5.965
   1.96669  0.90851 -0.01101 -0.94207  0.014827  0.002424 -0.000265     6.116
